Index,Name,Age,Team,GP,GAA,SVPercent,W,L,SO,TIME,G,A,P,PIM,FantasyPoints,FantasyPointsPerGp
74,Aaron Dell,31,NJD,7,4.14,0.857,1,5,0,319,0,0,0,0,8,1.1428571428571428
73,Joel Daccord,24,OTT,8,3.27,0.897,1,3,0,403,0,0,0,0,9,1.125
62,Carter Hutton,35,BUF,13,3.47,0.886,1,10,0,675,0,0,0,0,14,1.0769230769230769
85,Alexei Melnichuk,22,SJS,3,5.05,0.864,0,1,0,131,0,0,0,0,3,1.0
86,Ivan Prosvetov,21,ARI,3,4.15,0.824,0,1,0,130,0,0,0,0,3,1.0
94,Louis Domingue,28,CGY,1,3.12,0.87,0,1,0,58,0,0,0,0,1,1.0
95,Artyom Zagidulin,25,CGY,1,4.25,0.818,0,0,0,28,0,0,0,0,1,1.0
96,Kasimir Kaskisuo,27,NSH,1,0.0,1.0,0,0,0,15,0,0,0,0,1,1.0
97,Veini Vehviläinen,23,CBJ,1,5.63,0.75,0,0,0,11,0,0,0,0,1,1.0
98,Logan Thompson,23,VGK,1,0.0,1.0,0,0,0,8,0,0,0,0,1,1.0
