Index,Name,Age,Team,GP,GAA,SVPercent,W,L,SO,TIME,G,A,P,PIM,FantasyPoints
77,Eddie Pasquale,28,TBL,3,3.96,0.882,2,1,0,182,0,0,0,0,5
76,Marcus Högberg,24,OTT,4,4.09,0.884,0,2,0,206,0,0,0,0,4
78,Peter Budaj,36,LAK,3,5.02,0.818,0,1,0,72,0,0,0,0,3
83,Landon Bow,23,DAL,2,1.03,0.947,0,0,0,58,0,0,0,0,2
89,Alexander Nedeljkovic,22,CAR,1,2.0,0.923,1,0,0,60,0,0,0,0,2
85,Charlie Lindgren,25,MTL,1,4.62,0.898,1,0,0,65,0,0,0,0,2
84,Christopher Gibson,26,NYI,2,1.5,0.941,0,0,0,40,0,0,0,0,2
81,Alex Lyon,26,PHI,2,5.08,0.807,0,1,0,71,0,0,0,0,2
82,Pavel Francouz,28,COL,2,1.96,0.943,0,2,0,61,0,0,0,0,2
80,Mike Condon,28,OTT,2,6.38,0.8,0,2,0,75,0,0,0,0,2
79,Tristan Jarry,23,PIT,2,3.5,0.887,0,1,0,120,0,0,0,0,2
86,Richard Bachman,31,VAN,1,6.0,0.793,0,1,0,60,0,0,0,0,1
87,Eric Comrie,23,WPG,1,5.01,0.821,0,1,0,60,0,0,0,0,1
88,Maxime Lagace,25,VGK,1,4.03,0.871,0,1,0,60,0,0,0,0,1
90,Michael DiPietro,19,VAN,1,7.0,0.708,0,1,0,60,0,0,0,0,1
91,Joel Daccord,22,OTT,1,5.0,0.875,0,1,0,60,0,0,0,0,1
92,Kaden Fulcher,20,DET,1,4.41,0.818,0,0,0,27,0,0,0,0,1
93,Hunter Miska,23,ARI,1,3.29,0.889,0,0,0,18,0,0,0,0,1
