Rk,Unnamed: 1,Name,Team,Age,GP,GAA,SV%,W,L,SO,TIME,G,A,P,PIM
23,,Mike Smith,EDM,37,39,2.95,0.903,19,12,1,2157,0,2,2,21
24,,Matt Murray,PIT,25,38,2.87,0.899,20,11,1,2238,0,1,1,2
25,,Alex Stalock,MIN,32,38,2.67,0.91,20,11,4,2177,0,1,1,4
26,,Mikko Koskinen,EDM,31,38,2.75,0.917,18,13,1,2117,0,0,0,0
27,,Joonas Korpisalo,CBJ,25,37,2.6,0.911,19,12,2,2126,0,1,1,0
28,,Philipp Grubauer,COL,28,36,2.63,0.916,18,12,2,2057,0,0,0,0
29,,Robin Lehner,VGK,28,36,2.89,0.92,19,10,1,2055,0,0,0,4
30,,Pekka Rinne,NSH,37,36,3.17,0.895,18,14,3,1988,1,2,3,0
31,,Linus Ullmark,BUF,26,34,2.69,0.915,17,14,1,2027,0,0,0,4
32,,Pavel Francouz,COL,29,34,2.41,0.923,21,7,1,1914,0,0,0,2
33,,Alexandar Georgiev,NYR,23,34,3.05,0.91,17,14,2,1892,0,1,1,0
34,,Craig Anderson,OTT,38,34,3.25,0.902,11,17,0,1845,0,1,1,0
35,,Tristan Jarry,PIT,24,33,2.43,0.921,20,12,3,1926,0,0,0,0
36,,Aaron Dell,SJS,30,33,3.01,0.907,12,15,0,1834,0,0,0,0
37,,Antti Raanta,ARI,30,33,2.63,0.921,15,14,2,1823,0,0,0,2
38,,Elvis Merzlikins,CBJ,25,32,2.35,0.923,13,9,5,1815,0,0,0,0
39,,Jaroslav Halak,BOS,34,31,2.39,0.919,18,6,3,1833,0,2,2,0
40,,Carter Hutton,BUF,34,31,3.18,0.898,12,14,2,1775,0,1,1,6
41,,Brian Elliott,PHI,34,31,2.87,0.9,16,7,2,1674,0,1,1,2
42,,Thomas Greiss,NYI,33,31,2.74,0.913,16,9,0,1596,0,0,0,2
43,,Anton Khudobin,DAL,33,30,2.22,0.93,16,8,0,1677,0,3,3,4
44,,Devan Dubnyk,MIN,33,30,3.35,0.891,12,15,1,1665,0,0,0,2
45,,Henrik Lundqvist,NYR,37,30,3.16,0.905,10,12,1,1597,0,1,1,2
46,,Darcy Kuemper,ARI,29,29,2.22,0.928,16,11,2,1753,0,0,0,6
47,,Thatcher Demko,VAN,24,27,3.06,0.905,13,10,0,1529,0,0,0,0
48,,Jim Howard,DET,35,27,4.2,0.883,2,23,0,1372,0,0,0,0
49,,Jack Campbell,TOR,27,26,2.8,0.904,11,12,0,1567,0,0,0,0
50,,Cameron Talbot,CGY,32,26,2.64,0.919,12,10,2,1435,0,0,0,21
51,,Ilya Samsonov,WSH,22,26,2.55,0.913,16,6,1,1411,0,0,0,2
52,,James Reimer,CAR,31,25,2.66,0.914,14,6,3,1378,0,0,0,2
53,,Marcus Högberg,OTT,25,24,3.12,0.904,5,8,0,1345,0,0,0,0
54,,Jake Allen,STL,29,24,2.15,0.927,12,6,2,1339,0,0,0,0
55,,Ryan Miller,ANA,39,23,3.1,0.907,9,6,0,1238,0,1,1,0
56,,Malcolm Subban,CHI,26,21,3.17,0.89,9,7,0,1134,0,0,0,0
57,,Anders Nilsson,OTT,29,20,3.18,0.908,9,9,0,1093,0,0,0,0
58,,Laurent Brossoit,WPG,26,19,3.28,0.895,6,7,0,988,0,0,0,0
59,,Curtis McElhinney,TBL,36,18,2.89,0.906,8,7,1,1081,0,0,0,0
60,,Louis Domingue,VAN,27,17,3.81,0.882,3,9,0,803,0,0,0,0
61,,Michael Hutchinson,COL,29,16,3.47,0.888,5,9,1,847,0,0,0,0
62,,Samuel Montembeault,FLA,23,14,3.34,0.89,5,5,0,701,0,0,0,0
63,,Cory Schneider,NJD,33,13,3.53,0.887,3,6,1,679,0,1,1,0
64,,Adin Hill,ARI,23,13,2.62,0.918,2,4,0,641,0,0,0,2
65,,Igor Shestyorkin,NYR,24,12,2.52,0.932,10,2,0,692,0,0,0,0
66,,Chris Driedger,FLA,25,12,2.05,0.938,7,2,1,643,0,0,0,0
67,,Cal Petersen,LAK,25,8,2.64,0.922,5,3,0,477,0,0,0,0
68,,Charlie Lindgren,MTL,26,6,3.33,0.888,2,4,0,361,0,0,0,0
69,,Keith Kinkaid,MTL,30,6,4.24,0.875,1,1,0,340,0,0,0,0
70,,Jonas Johansson,BUF,24,6,2.94,0.894,1,3,0,327,0,0,0,0
71,,Matiss Kivlenieks,CBJ,23,6,2.95,0.898,1,1,0,285,0,0,0,0
72,,Kaapo Kähkönen,MIN,23,5,2.96,0.913,3,1,0,304,0,0,0,0
73,,Alexander Nedeljkovic,CAR,23,4,3.05,0.887,1,2,0,216,0,0,0,0
74,,Calvin Pickard,DET,27,3,5.46,0.797,0,2,0,165,0,0,0,0
75,,Anton Forsberg,CAR,27,3,3.35,0.897,1,1,0,143,0,0,0,0
76,,Alex Lyon,PHI,27,3,3.55,0.89,1,1,0,135,0,0,0,0
77,,Eric Comrie,DET,24,3,4.28,0.864,0,2,0,126,0,0,0,0
78,,Cayden Primeau,MTL,20,2,2.52,0.931,1,1,0,119,0,0,0,0
79,,Antoine Bibeau,COL,25,2,3.27,0.881,1,0,0,92,0,0,0,0
80,,Adam Werner,COL,22,2,3.42,0.914,1,1,0,88,0,0,0,0
81,,Gilles Senn,NJD,23,2,3.42,0.902,0,1,0,70,0,0,0,0
82,,Oscar Dansk,VGK,25,1,6.0,0.838,0,1,0,60,0,0,0,0
83,,Kasimir Kaskisuo,TOR,26,1,6.0,0.842,0,1,0,60,0,0,0,0
84,,Anthony Stolarz,ANA,25,1,2.05,0.943,0,1,0,59,0,0,0,0
85,,David Ayres,CAR,42,1,4.18,0.8,1,0,0,29,0,0,0,0
86,,Garret Sparks,VGK,26,1,4.38,0.857,0,0,0,27,0,0,0,0
87,,Michael DiPietro,VAN,20,1,7.16,0.857,0,0,0,8,0,0,0,0
